,acc,loss,val_acc,val_loss
0,0.6009093071378253,0.9684192162224815,0.5970180819512826,0.9619540600213463
1,0.6028918082706959,0.9612697755794768,0.6034683305327,0.9549274127239076
2,0.6050064761561565,0.9566620877794231,0.6053716826794376,0.9485313841879865
3,0.6097116121257982,0.9462070133954477,0.6079094853652788,0.9461312005594743
4,0.6118262800002299,0.9410182398205212,0.6084381941699245,0.942890118352578
5,0.6136501810952203,0.9375391617153037,0.6089669030628081,0.9431558731457667
6,0.6173508497880328,0.9315459231170591,0.6075922599413108,0.9459992842176594
7,0.6169543495728027,0.9280292382040137,0.6071692928270039,0.9492695995500026
8,0.6202849514711726,0.9247065125999416,0.608966903151046,0.940913144152021
9,0.6223731860288031,0.9224423154428751,0.6107645133868501,0.9401337166814229
10,0.6191747508515122,0.9190747627123332,0.6116104476154638,0.9376353778168
11,0.6247786206527408,0.9180088504723095,0.6085439359485013,0.9376960562716784
12,0.6230075863882967,0.9153418725183691,0.6117161893499217,0.9361571925405192
13,0.6268932885586835,0.9111000619889162,0.6128793489583845,0.9395301632123833
14,0.6247257540585271,0.9122361891291301,0.6110817387225803,0.9355291975934901
15,0.6282413892816431,0.9084986263980086,0.611927672951194,0.9354495291441657
16,0.6273955221356516,0.9061276591150896,0.6101300620914224,0.9333173957904172
17,0.6288757897230652,0.9032487905295532,0.611610447527226,0.9363643281540736
18,0.6291929898823297,0.9005735322645176,0.6122448982428053,0.9354933518882885
19,0.6307261241049213,0.9024664946496195,0.6133023160285724,0.9350730150172256
20,0.6291401232266697,0.8987651554277927,0.6131965742941146,0.9351157115064691
21,0.6340831592696748,0.8930951450239175,0.6109759969440035,0.9347480620908802
22,0.6342417593800304,0.8930236049645772,0.6106587716082734,0.9349234871510359
23,0.633501625627288,0.8919747848539228,0.611927672951194,0.9349636556268482
24,0.6336602257376435,0.8951594073783585,0.6113989640583104,0.932482036567836
